id,name,body,background,category,category2,type,thc
361,Passion Fruit,Red / Orange / Yellow,Green,-,Food / Fruits,Hybrid,20
362,24K Gold,Gold,Purple,Gold,Gold,Hybrid,23
363,Rainbow Mints, Multi-Color,Blue / Green,-,Food / Sweets / Rainbows,Mostly Indica,24
364,Pineapple Poison,Green,Orange,-,Food / Fruits / Spooky,Hybrid,20
365,Monkey Bread,Green,Green,-,Food / Animals,Mostly Indica,24
366,Phantom OG,Green,Purple,OG,Fantasy / Spooky,Hybrid,22
367,Candyland, Multi-Color,Blue / Green,-,Food / Sweets,Mostly Sativa,22
368,Master Skunk,Orange / Yellow,Green,Skunk,Animals,Mostly Indica,25
369,Waffle Cone,Brown,Orange,-,Food / Sweets,Hybrid,22
370,Chocolate Lava,Brown,Purple,Chocolate,Food / Sweets,Mostly Indica,27
371,Pineapple Zkittlez, Multi-Color,Blue,Zkittlez,Food / Fruits / Sweets,Hybrid,24
372,Mr.Nice,White,Green,-,Legendary,Mostly Indica,20
373,Colombian Gold,Gold,Brown,Gold,Legendary / Gold,Mostly Sativa,18
374,Cookie Dough,Yellow,Brown,Cookies,Food / Sweets,Hybrid,23
375,Rainbow Kush, Multi-Color,Purple,Kush,Rainbows,Mostly Indica,21
376,Holland's Hope,White / Yellow,Orange / Yellow,-,Legendary,Mostly Indica,19
377,French Macaron,Green,Brown,-,Food / Sweets,Mostly Indica,22
378,Bubblegun, Multi-Color,Blue / Green,-,OTHER,Hybrid,20
379,Himalayan Gold,Gold,Green,Gold,Legendary / Gold,Mostly Indica,17
380,UK Cheese,Orange,Red / Orange,Cheese,Food / Cheese,Mostly Indica,21
381,Guava Jelly,Pink,Blue / Green,-,Food / Fruits / Sweets,Hybrid,23
382,Lemon Fire OG,Yellow,Green,OG,Food / Fruits,Hybrid,23
383,Skunkberry,Blue,Purple,Skunk,Food / Fruits / Animals,Mostly Indica,22
384,Black Diamond,Black,Green,-,Gemstones,Mostly Indica,23
385,Syrup OG,Pink,Pink,OG,Food / Sweets,Hybrid,19
386,Lost Soul,White,Grey,-,Fantasy / Spooky,Mostly Indica,23
387,Blob OG,Green,Green,OG,OTHER,Hybrid,20
388,Panda Glue,White / Black,Green,Glue,Animals,,
389,Unicorn Cookies, Multi-Color,Brown,Cookies,Food / Sweets / Fantasy / Rainbows,Hybrid,26
390,Pine Tar Kush,Black,Green,Kush,Plants,Mostly Indica,24
391,Alien Poison,Purple,Green,-,Aliens / Space / Spooky,Mostly Sativa,26
392,Banana Pudding,Yellow,Orange,-,Food / Fruits / Sweets,Hybrid,22
393,Blue Lemon Haze,Blue,Green,Haze,Food / Fruits,Mostly Sativa,21
394,Quantum Kush,Green,Blue / Green,Kush,OTHER,Mostly Sativa,22
395,Sour Apple Killer,Green,Green,-,Food / Fruits,Hybrid,27
396,Cherry Burst,Red,Pink,-,Food / Fruits,Hybrid,21
397,Gingerbread Cookies,Brown,Orange,Cookies,Food / Fruits / Sweets,Hybrid,24
398,Stardawg,White,Black,-,Space / Animals,Hybrid,21
399,Wizard Punch,Purple,Green,-,Fantasy,Hybrid,20
400,TITS,Green,Green,-,OTHER,Mostly Sativa,26
401,Pyramid OG,Yellow,Yellow,OG,OTHER,Hybrid,24
402,Ice Cream Cake, Multi-Color,Orange,-,Food / Sweets / Ice Cream,Mostly Indica,25
403,Hawaiian Trainwreck,Blue / Yellow,Blue / Green,-,OTHER,Mostly Sativa,23
404,Jamaican Pearl,Red / Yellow / Green,Orange,-,Gemstones,Mostly Sativa,20
405,Sour LSD, Multi-Color,Pink,-,Food / Fruits / Trippy,Hybrid,25
406,Alien Pebbles, Multi-Color,Black,-,Food / Sweets / Aliens / Space,Hybrid,25
407,Swiss Fragolina,Red,Pink,-,Food / Fruits,Mostly Sativa,19
408,Ayahuasca Purple, Multi-Color,Green,-,Trippy,Mostly Indica,22
409,420 Glue,Green,Purple,Glue,OTHER,Hybrid,26
410,Bombsicle, Multi-Color,Purple,-,Food / Sweets / Ice Cream,Hybrid,22
411,Sunset Gelato,Brown,Blue / Green,Gelato,Food / Sweets / Ice Cream,Hybrid,23
412,Treasure Island,Yellow / Black,Green,-,OTHER,Hybrid,19
413,Maui Dawg,Green,Green,-,Animals,Mostly Sativa,30
414,Big Bazooka,Brown / Grey,Green,-,OTHER,Hybrid,26
415,Strawberry Crack,Red,Purple / Pink,-,Food / Fruits,Mostly Sativa,25
416,Big Foot Glue,Green,Green,Glue,Fantasy / Spooky,Mostly Sativa,25
417,Aurora Haze, Multi-Color,Black,Haze,Space,Hybrid,20
418,Banana Cheese,Yellow,Purple,Cheese,Food / Fruits / Cheese,???,???
419,Colbalt Ice,Blue,Blue,-,Gemstones,???,???
420,Space Ghost,Green,Black,-,Space / Fantasy / Spooky,Mostly Indica,20
421,Rainbow Gelato, Multi-Color,Orange / Yellow,Gelato,Food / Sweets / Ice Cream / Rainbows,Mostly Indica,25
422,Peanut Butter Breath,Brown,Purple / Orange,,Food / Sweets,Hybrid,21
423,Rainbow Cookies, Multi-Color,Pink / Orange,Cookies,Food / Sweets / Rainbows,Mostly Indica,20
424,Cherry Lime Haze,Red / Green,Blue / Green,Haze,Food / Fruits,Mostly Sativa,21
425,Banana Cookies,Brown / Yellow,Pink / Orange,Cookies,Food / Fruits / Sweets,Mostly Indica,21
426,Dark Plasma,Black,Green,-,OTHER,???,???
427,Cookies & Cream,White / Brown,Green,Cookies,Food / Sweets,Hybrid,21
428,French Toast,Brown / Orange,Yellow,-,Food,Hybrid,20
429,Phantom Cookies,Brown,Brown,Cookies,Food / Sweets / Fantasy / Spooky,Mostly Sativa,22
430,The Hog,Green,Green,-,Animals,Mostly Indica,20
